name,author,narrator,releasedate,language,price,rating_stars,n_ratings,hours,mins,time_mins
Kitchen Confidential,AnthonyBourdain,AnthonyBourdain,2020-04-30,English,4.09,4.5,47.0,8,19,499
Caffeine,MichaelPollan,MichaelPollan,2020-01-30,English,3.6,,171.0,2,2,122
"Salt, Fat, Acid, Heat",SaminNosrat,SaminNosrat,2018-04-10,English,8.2,,10.0,5,56,356
Taste,StanleyTucci,StanleyTucci,2021-07-10,English,10.66,,8.0,6,49,409
The Food Lab,J.KenjiLopez-Alt,J.KenjiLopez-Alt,2019-10-22,English,14.06,4.5,2.0,21,22,1282
Why Food Matters,PaulFreedman,PaulFreedman,2021-09-28,English,9.84,,1.0,5,29,329
Simple & Safe Baby-Led Weaning,MalinaLinkasMalkaniMSRDNCDN,MalinaLinkasMalkaniMSRDNCDN,2020-10-03,English,2.8,,1.0,2,2,122
Science and Cooking,"MichaelBrenner,PiaSörensen,DavidWeitz","MichaelBrenner,PiaSörensen,DavidWeitz",2021-01-26,English,7.03,,1.0,9,12,552
The Flavour of Spice,MarryamHReshii,MarryamHReshii,2020-06-26,English,8.02,,4.0,9,11,551
"Food Stories, Rituals and Traditions of India: A Food Journey through India",PremSouriKishore,PremSouriKishore,2013-08-03,English,8.42,,1.0,3,21,201
How to Eat: The Pleasures and Principles of Good Food,NigellaLawson,NigellaLawson,2018-11-10,English,10.66,,1.0,19,59,1199
A Guide to Wine,JulianCurry,JulianCurry,2002-12-29,English,7.6,,1.0,5,14,314
Mango and Peppercorns,"TungNguyen,KatherineManning,LynNguyen,","TungNguyen,KatherineManning,LynNguyen,",2021-03-25,English,6.0,,2.0,5,16,316
Culinary Reactions,SimonQuellenField,SimonQuellenField,2017-07-02,English,8.44,,1.0,4,29,269
The Third Plate,DanBarber,DanBarber,2014-05-20,English,15.07,,1.0,14,30,870
Getting Started with Sourdough,"ChadRobertson,JenniferLatham","ChadRobertson,JenniferLatham",2020-08-18,English,4.52,,2.0,1,49,109
Coffeeland,AugustineSedgewick,AugustineSedgewick,2020-07-04,English,10.66,,1.0,14,56,896
L'Appart,DavidLebovitz,DavidLebovitz,2017-07-11,English,12.06,,1.0,10,51,651
Whiskey and Philosophy: A Small Batch of Spirited Ideas,"FritzAllhoff-editor,MarcusP.Adams-editor,CharlesMacLean-foreword","FritzAllhoff-editor,MarcusP.Adams-editor,CharlesMacLean-foreword",2020-08-25,English,14.06,,1.0,12,19,739
Chop Suey,AndrewCoe,AndrewCoe,2018-07-20,English,10.03,,1.0,8,16,496
The Untold History of the Potato,JohnReader,JohnReader,2010-12-01,English,8.65,,1.0,11,49,709
Ritz and Escoffier,LukeBarr,LukeBarr,2018-03-04,English,10.55,,1.0,8,38,518
The Billionaire's Vinegar,BenjaminWallace,BenjaminWallace,2008-08-29,English,9.05,,1.0,5,49,349
Life from Scratch,SashaMartin,SashaMartin,2015-03-03,English,9.84,,1.0,8,26,506
Hungry,JeffGordinier,JeffGordinier,2019-11-28,English,6.83,,1.0,6,46,406
